SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 490, 'alpha': 1.9054690603285207, 'beta': 0.15925298997291784, 'normalize_similarity': True} - results: ROC_AUC: 0.0549739, PRECISION: 0.0108545, PRECISION_RECALL_MIN_DEN: 0.0497832, RECALL: 0.0491415, MAP: 0.0185103, MRR: 0.0345199, NDCG: 0.0298340, F1: 0.0177770, HIT_RATE: 0.1085451, ARHR: 0.0360147, NOVELTY: 0.0053028, AVERAGE_POPULARITY: 0.0397275, DIVERSITY_MEAN_INTER_LIST: 0.9922857, DIVERSITY_HERFINDAHL: 0.9992083, COVERAGE_ITEM: 0.4859211, COVERAGE_ITEM_CORRECT: 0.0167931, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0614823, DIVERSITY_GINI: 0.2384720, SHANNON_ENTROPY: 12.6505503, 
SearchBayesianSkopt-CV: Config 31 is suboptimal. Config: {'topK': 780, 'alpha': 0.015459033185623697, 'beta': 0.0019328289646507462, 'normalize_similarity': True} - results: ROC_AUC: 0.0898557, PRECISION: 0.0176856, PRECISION_RECALL_MIN_DEN: 0.0658821, RECALL: 0.0642268, MAP: 0.0284541, MRR: 0.0626026, NDCG: 0.0446074, F1: 0.0277319, HIT_RATE: 0.1768558, ARHR: 0.0682374, NOVELTY: 0.0050166, AVERAGE_POPULARITY: 0.0709968, DIVERSITY_MEAN_INTER_LIST: 0.9888119, DIVERSITY_HERFINDAHL: 0.9988610, COVERAGE_ITEM: 0.4840346, COVERAGE_ITEM_CORRECT: 0.0227911, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0909274, DIVERSITY_GINI: 0.1954529, SHANNON_ENTROPY: 12.0856552, 
SearchBayesianSkopt-CV: Config 32 is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.0750016, PRECISION: 0.0132632, PRECISION_RECALL_MIN_DEN: 0.0497177, RECALL: 0.0484973, MAP: 0.0233705, MRR: 0.0513073, NDCG: 0.0355829, F1: 0.0208222, HIT_RATE: 0.1326322, ARHR: 0.0546483, NOVELTY: 0.0047664, AVERAGE_POPULARITY: 0.0755853, DIVERSITY_MEAN_INTER_LIST: 0.9254450, DIVERSITY_HERFINDAHL: 0.9925256, COVERAGE_ITEM: 0.3506603, COVERAGE_ITEM_CORRECT: 0.0140905, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0711463, DIVERSITY_GINI: 0.0990995, SHANNON_ENTROPY: 10.2721266, 
SearchBayesianSkopt-CV: Config 33 is suboptimal. Config: {'topK': 110, 'alpha': 1.993502109748989, 'beta': 0.022129242815865705, 'normalize_similarity': True} - results: ROC_AUC: 0.0581468, PRECISION: 0.0110677, PRECISION_RECALL_MIN_DEN: 0.0504280, RECALL: 0.0497608, MAP: 0.0195716, MRR: 0.0369299, NDCG: 0.0310489, F1: 0.0181030, HIT_RATE: 0.1106768, ARHR: 0.0384661, NOVELTY: 0.0052362, AVERAGE_POPULARITY: 0.0437433, DIVERSITY_MEAN_INTER_LIST: 0.9919044, DIVERSITY_HERFINDAHL: 0.9991702, COVERAGE_ITEM: 0.4712916, COVERAGE_ITEM_CORRECT: 0.0169702, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0628665, DIVERSITY_GINI: 0.2195130, SHANNON_ENTROPY: 12.5179570, 
SearchBayesianSkopt-CV: Config 34 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.0920721, PRECISION: 0.0178484, PRECISION_RECALL_MIN_DEN: 0.0685809, RECALL: 0.0670629, MAP: 0.0289220, MRR: 0.0639551, NDCG: 0.0458716, F1: 0.0281905, HIT_RATE: 0.1784838, ARHR: 0.0692441, NOVELTY: 0.0045980, AVERAGE_POPULARITY: 0.1413235, DIVERSITY_MEAN_INTER_LIST: 0.9678303, DIVERSITY_HERFINDAHL: 0.9967632, COVERAGE_ITEM: 0.3138479, COVERAGE_ITEM_CORRECT: 0.0158460, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0925884, DIVERSITY_GINI: 0.0799464, SHANNON_ENTROPY: 10.3874300, 
SearchBayesianSkopt-CV: Config 35 is suboptimal. Config: {'topK': 9, 'alpha': 0.033540009995340465, 'beta': 1.9979417302267959, 'normalize_similarity': False} - results: ROC_AUC: 0.0282759, PRECISION: 0.0047745, PRECISION_RECALL_MIN_DEN: 0.0203492, RECALL: 0.0199611, MAP: 0.0091912, MRR: 0.0192344, NDCG: 0.0139264, F1: 0.0077042, HIT_RATE: 0.0477455, ARHR: 0.0201277, NOVELTY: 0.0057070, AVERAGE_POPULARITY: 0.0080764, DIVERSITY_MEAN_INTER_LIST: 0.9527959, DIVERSITY_HERFINDAHL: 0.9952601, COVERAGE_ITEM: 0.3598537, COVERAGE_ITEM_CORRECT: 0.0087777, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0266767, DIVERSITY_GINI: 0.1288411, SHANNON_ENTROPY: 11.1849889, 
SearchBayesianSkopt-CV: Config 36 is suboptimal. Config: {'topK': 119, 'alpha': 0.03285128253413184, 'beta': 0.001889315186163643, 'normalize_similarity': True} - results: ROC_AUC: 0.0861137, PRECISION: 0.0166882, PRECISION_RECALL_MIN_DEN: 0.0632219, RECALL: 0.0618286, MAP: 0.0276962, MRR: 0.0598858, NDCG: 0.0431921, F1: 0.0262801, HIT_RATE: 0.1668816, ARHR: 0.0649304, NOVELTY: 0.0051230, AVERAGE_POPULARITY: 0.0517400, DIVERSITY_MEAN_INTER_LIST: 0.9909286, DIVERSITY_HERFINDAHL: 0.9990726, COVERAGE_ITEM: 0.5111838, COVERAGE_ITEM_CORRECT: 0.0243311, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0868001, DIVERSITY_GINI: 0.2240657, SHANNON_ENTROPY: 12.4173447, 
SearchBayesianSkopt-CV: Config 37 is suboptimal. Config: {'topK': 921, 'alpha': 1.9886395833610573, 'beta': 0.0005237358057903486, 'normalize_similarity': False} - results: ROC_AUC: 0.0555830, PRECISION: 0.0104993, PRECISION_RECALL_MIN_DEN: 0.0499923, RECALL: 0.0495493, MAP: 0.0197705, MRR: 0.0365491, NDCG: 0.0310396, F1: 0.0173226, HIT_RATE: 0.1049931, ARHR: 0.0378701, NOVELTY: 0.0052407, AVERAGE_POPULARITY: 0.0462136, DIVERSITY_MEAN_INTER_LIST: 0.9920759, DIVERSITY_HERFINDAHL: 0.9991873, COVERAGE_ITEM: 0.5068951, COVERAGE_ITEM_CORRECT: 0.0166468, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0601233, DIVERSITY_GINI: 0.2503174, SHANNON_ENTROPY: 12.6725330, 
SearchBayesianSkopt-CV: Config 38 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.0920721, PRECISION: 0.0178484, PRECISION_RECALL_MIN_DEN: 0.0685809, RECALL: 0.0670629, MAP: 0.0289220, MRR: 0.0639551, NDCG: 0.0458716, F1: 0.0281905, HIT_RATE: 0.1784838, ARHR: 0.0692441, NOVELTY: 0.0045980, AVERAGE_POPULARITY: 0.1413235, DIVERSITY_MEAN_INTER_LIST: 0.9678303, DIVERSITY_HERFINDAHL: 0.9967632, COVERAGE_ITEM: 0.3138479, COVERAGE_ITEM_CORRECT: 0.0158460, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0925884, DIVERSITY_GINI: 0.0799464, SHANNON_ENTROPY: 10.3874300, 
SearchBayesianSkopt-CV: Config 39 is suboptimal. Config: {'topK': 989, 'alpha': 1.9330350181459892, 'beta': 1.993859283727508, 'normalize_similarity': True} - results: ROC_AUC: 0.0311122, PRECISION: 0.0058195, PRECISION_RECALL_MIN_DEN: 0.0272229, RECALL: 0.0268803, MAP: 0.0109881, MRR: 0.0201096, NDCG: 0.0169745, F1: 0.0095668, HIT_RATE: 0.0581954, ARHR: 0.0210102, NOVELTY: 0.0058288, AVERAGE_POPULARITY: 0.0089168, DIVERSITY_MEAN_INTER_LIST: 0.9925357, DIVERSITY_HERFINDAHL: 0.9992333, COVERAGE_ITEM: 0.4784062, COVERAGE_ITEM_CORRECT: 0.0106179, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0327922, DIVERSITY_GINI: 0.2338827, SHANNON_ENTROPY: 12.6600663, 
SearchBayesianSkopt-CV: Config 40 is suboptimal. Config: {'topK': 957, 'alpha': 0.06350343933323456, 'beta': 0.03781708390382988, 'normalize_similarity': True} - results: ROC_AUC: 0.0887416, PRECISION: 0.0176354, PRECISION_RECALL_MIN_DEN: 0.0651748, RECALL: 0.0634691, MAP: 0.0282685, MRR: 0.0620318, NDCG: 0.0442197, F1: 0.0276005, HIT_RATE: 0.1763538, ARHR: 0.0675824, NOVELTY: 0.0050755, AVERAGE_POPULARITY: 0.0671713, DIVERSITY_MEAN_INTER_LIST: 0.9893559, DIVERSITY_HERFINDAHL: 0.9989154, COVERAGE_ITEM: 0.5078037, COVERAGE_ITEM_CORRECT: 0.0228758, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0906506, DIVERSITY_GINI: 0.2174145, SHANNON_ENTROPY: 12.2460780, 
SearchBayesianSkopt-CV: Config 41 is suboptimal. Config: {'topK': 92, 'alpha': 0.033794294902608, 'beta': 0.008409112392540276, 'normalize_similarity': True} - results: ROC_AUC: 0.0849625, PRECISION: 0.0167665, PRECISION_RECALL_MIN_DEN: 0.0629758, RECALL: 0.0614862, MAP: 0.0274377, MRR: 0.0592909, NDCG: 0.0428160, F1: 0.0263459, HIT_RATE: 0.1676647, ARHR: 0.0643533, NOVELTY: 0.0051415, AVERAGE_POPULARITY: 0.0499496, DIVERSITY_MEAN_INTER_LIST: 0.9910257, DIVERSITY_HERFINDAHL: 0.9990823, COVERAGE_ITEM: 0.5165967, COVERAGE_ITEM_CORRECT: 0.0248162, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0871021, DIVERSITY_GINI: 0.2300799, SHANNON_ENTROPY: 12.4618124, 
SearchBayesianSkopt-CV: Config 42 is suboptimal. Config: {'topK': 74, 'alpha': 0.0666403913990772, 'beta': 0.01112576590451675, 'normalize_similarity': True} - results: ROC_AUC: 0.0862403, PRECISION: 0.0165730, PRECISION_RECALL_MIN_DEN: 0.0622469, RECALL: 0.0607913, MAP: 0.0276383, MRR: 0.0597211, NDCG: 0.0428375, F1: 0.0260450, HIT_RATE: 0.1657303, ARHR: 0.0646290, NOVELTY: 0.0051372, AVERAGE_POPULARITY: 0.0498590, DIVERSITY_MEAN_INTER_LIST: 0.9908511, DIVERSITY_HERFINDAHL: 0.9990649, COVERAGE_ITEM: 0.5140789, COVERAGE_ITEM_CORRECT: 0.0244004, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0862967, DIVERSITY_GINI: 0.2281161, SHANNON_ENTROPY: 12.4484289, 
SearchBayesianSkopt-CV: Config 43 is suboptimal. Config: {'topK': 739, 'alpha': 1.9945159542598632, 'beta': 0.005606094962177456, 'normalize_similarity': True} - results: ROC_AUC: 0.0637303, PRECISION: 0.0122851, PRECISION_RECALL_MIN_DEN: 0.0549865, RECALL: 0.0541641, MAP: 0.0212574, MRR: 0.0408190, NDCG: 0.0338467, F1: 0.0200240, HIT_RATE: 0.1228514, ARHR: 0.0427170, NOVELTY: 0.0051797, AVERAGE_POPULARITY: 0.0547756, DIVERSITY_MEAN_INTER_LIST: 0.9911252, DIVERSITY_HERFINDAHL: 0.9990923, COVERAGE_ITEM: 0.4640770, COVERAGE_ITEM_CORRECT: 0.0173936, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0690072, DIVERSITY_GINI: 0.2105808, SHANNON_ENTROPY: 12.4060122, 
SearchBayesianSkopt-CV: Config 44 is suboptimal. Config: {'topK': 989, 'alpha': 0.009294557081589218, 'beta': 1.9996163730576437, 'normalize_similarity': False} - results: ROC_AUC: 0.0259756, PRECISION: 0.0046278, PRECISION_RECALL_MIN_DEN: 0.0196635, RECALL: 0.0193514, MAP: 0.0086546, MRR: 0.0173657, NDCG: 0.0132414, F1: 0.0074669, HIT_RATE: 0.0462778, ARHR: 0.0183502, NOVELTY: 0.0059923, AVERAGE_POPULARITY: 0.0062770, DIVERSITY_MEAN_INTER_LIST: 0.9921368, DIVERSITY_HERFINDAHL: 0.9991934, COVERAGE_ITEM: 0.3550106, COVERAGE_ITEM_CORRECT: 0.0085005, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0255191, DIVERSITY_GINI: 0.1684177, SHANNON_ENTROPY: 12.2485938, 
SearchBayesianSkopt-CV: Config 45 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.0920721, PRECISION: 0.0178484, PRECISION_RECALL_MIN_DEN: 0.0685809, RECALL: 0.0670629, MAP: 0.0289220, MRR: 0.0639551, NDCG: 0.0458716, F1: 0.0281905, HIT_RATE: 0.1784838, ARHR: 0.0692441, NOVELTY: 0.0045980, AVERAGE_POPULARITY: 0.1413235, DIVERSITY_MEAN_INTER_LIST: 0.9678303, DIVERSITY_HERFINDAHL: 0.9967632, COVERAGE_ITEM: 0.3138479, COVERAGE_ITEM_CORRECT: 0.0158460, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0925884, DIVERSITY_GINI: 0.0799464, SHANNON_ENTROPY: 10.3874300, 
SearchBayesianSkopt-CV: Config 46 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.0920721, PRECISION: 0.0178484, PRECISION_RECALL_MIN_DEN: 0.0685809, RECALL: 0.0670629, MAP: 0.0289220, MRR: 0.0639551, NDCG: 0.0458716, F1: 0.0281905, HIT_RATE: 0.1784838, ARHR: 0.0692441, NOVELTY: 0.0045980, AVERAGE_POPULARITY: 0.1413235, DIVERSITY_MEAN_INTER_LIST: 0.9678303, DIVERSITY_HERFINDAHL: 0.9967632, COVERAGE_ITEM: 0.3138479, COVERAGE_ITEM_CORRECT: 0.0158460, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0925884, DIVERSITY_GINI: 0.0799464, SHANNON_ENTROPY: 10.3874300, 
SearchBayesianSkopt-CV: Config 47 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.0920721, PRECISION: 0.0178484, PRECISION_RECALL_MIN_DEN: 0.0685809, RECALL: 0.0670629, MAP: 0.0289220, MRR: 0.0639551, NDCG: 0.0458716, F1: 0.0281905, HIT_RATE: 0.1784838, ARHR: 0.0692441, NOVELTY: 0.0045980, AVERAGE_POPULARITY: 0.1413235, DIVERSITY_MEAN_INTER_LIST: 0.9678303, DIVERSITY_HERFINDAHL: 0.9967632, COVERAGE_ITEM: 0.3138479, COVERAGE_ITEM_CORRECT: 0.0158460, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0925884, DIVERSITY_GINI: 0.0799464, SHANNON_ENTROPY: 10.3874300, 
SearchBayesianSkopt-CV: Config 48 is suboptimal. Config: {'topK': 17, 'alpha': 1.8196590753062323, 'beta': 0.014185484987403022, 'normalize_similarity': False} - results: ROC_AUC: 0.0430357, PRECISION: 0.0078416, PRECISION_RECALL_MIN_DEN: 0.0361592, RECALL: 0.0357696, MAP: 0.0153718, MRR: 0.0281787, NDCG: 0.0234505, F1: 0.0128590, HIT_RATE: 0.0784161, ARHR: 0.0292556, NOVELTY: 0.0054091, AVERAGE_POPULARITY: 0.0226388, DIVERSITY_MEAN_INTER_LIST: 0.9898965, DIVERSITY_HERFINDAHL: 0.9989694, COVERAGE_ITEM: 0.5358460, COVERAGE_ITEM_CORRECT: 0.0141213, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0448219, DIVERSITY_GINI: 0.2945540, SHANNON_ENTROPY: 12.8697831, 
SearchBayesianSkopt-CV: Config 49 is suboptimal. Config: {'topK': 906, 'alpha': 1.987569436705133, 'beta': 1.9857721075918935, 'normalize_similarity': False} - results: ROC_AUC: 0.0326044, PRECISION: 0.0059543, PRECISION_RECALL_MIN_DEN: 0.0282453, RECALL: 0.0280177, MAP: 0.0114213, MRR: 0.0207172, NDCG: 0.0177496, F1: 0.0098199, HIT_RATE: 0.0595432, ARHR: 0.0216278, NOVELTY: 0.0058007, AVERAGE_POPULARITY: 0.0094867, DIVERSITY_MEAN_INTER_LIST: 0.9930261, DIVERSITY_HERFINDAHL: 0.9992823, COVERAGE_ITEM: 0.5260597, COVERAGE_ITEM_CORRECT: 0.0109259, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0336228, DIVERSITY_GINI: 0.2936038, SHANNON_ENTROPY: 12.9700002, 
SearchBayesianSkopt-CV: Search complete. Best config is 20: {'topK': 121, 'alpha': 0.20195468746532336, 'beta': 0.004377103282444673, 'normalize_similarity': False}
