
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 653, 'shrink': 748, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 10.002931720939522} - results: ROC_AUC: 0.1105765, PRECISION: 0.0219614, PRECISION_RECALL_MIN_DEN: 0.0895993, RECALL: 0.0878695, MAP: 0.0374013, MRR: 0.0748725, NDCG: 0.0583569, F1: 0.0351389, HIT_RATE: 0.2196136, ARHR: 0.0818640, NOVELTY: 0.0047140, AVERAGE_POPULARITY: 0.0603784, DIVERSITY_MEAN_INTER_LIST: 0.9927053, DIVERSITY_HERFINDAHL: 0.9992502, COVERAGE_ITEM: 0.4534822, COVERAGE_ITEM_CORRECT: 0.0295592, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1122688, DIVERSITY_GINI: 0.1802005, SHANNON_ENTROPY: 12.1708433, 
SearchBayesianSkopt-CV: Config 31 is suboptimal. Config: {'topK': 973, 'shrink': 990, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 19.047776002774636} - results: ROC_AUC: 0.1094020, PRECISION: 0.0217315, PRECISION_RECALL_MIN_DEN: 0.0886767, RECALL: 0.0870152, MAP: 0.0370648, MRR: 0.0743545, NDCG: 0.0578743, F1: 0.0347764, HIT_RATE: 0.2173151, ARHR: 0.0810671, NOVELTY: 0.0047137, AVERAGE_POPULARITY: 0.0616919, DIVERSITY_MEAN_INTER_LIST: 0.9922401, DIVERSITY_HERFINDAHL: 0.9992037, COVERAGE_ITEM: 0.4433109, COVERAGE_ITEM_CORRECT: 0.0287969, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1113124, DIVERSITY_GINI: 0.1719608, SHANNON_ENTROPY: 12.0863625, 
SearchBayesianSkopt-CV: Config 32 is suboptimal. Config: {'topK': 994, 'shrink': 88, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 1.4368325836198177} - results: ROC_AUC: 0.1050151, PRECISION: 0.0208619, PRECISION_RECALL_MIN_DEN: 0.0856329, RECALL: 0.0840018, MAP: 0.0360383, MRR: 0.0709157, NDCG: 0.0558810, F1: 0.0334196, HIT_RATE: 0.2086188, ARHR: 0.0772368, NOVELTY: 0.0047717, AVERAGE_POPULARITY: 0.0412812, DIVERSITY_MEAN_INTER_LIST: 0.9950962, DIVERSITY_HERFINDAHL: 0.9994893, COVERAGE_ITEM: 0.4798460, COVERAGE_ITEM_CORRECT: 0.0310760, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1074871, DIVERSITY_GINI: 0.2083786, SHANNON_ENTROPY: 12.5129260, 
SearchBayesianSkopt-CV: Config 33 is suboptimal. Config: {'topK': 6, 'shrink': 46, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 19.26090876445505} - results: ROC_AUC: 0.0910718, PRECISION: 0.0178576, PRECISION_RECALL_MIN_DEN: 0.0730807, RECALL: 0.0716725, MAP: 0.0310883, MRR: 0.0610704, NDCG: 0.0480115, F1: 0.0285903, HIT_RATE: 0.1785764, ARHR: 0.0660929, NOVELTY: 0.0047075, AVERAGE_POPULARITY: 0.0344740, DIVERSITY_MEAN_INTER_LIST: 0.9790763, DIVERSITY_HERFINDAHL: 0.9978876, COVERAGE_ITEM: 0.5950722, COVERAGE_ITEM_CORRECT: 0.0289817, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0929911, DIVERSITY_GINI: 0.2742189, SHANNON_ENTROPY: 12.3963616, 
SearchBayesianSkopt-CV: Config 34 is suboptimal. Config: {'topK': 972, 'shrink': 986, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 1.2422395704760023} - results: ROC_AUC: 0.1093821, PRECISION: 0.0217479, PRECISION_RECALL_MIN_DEN: 0.0887874, RECALL: 0.0871199, MAP: 0.0370737, MRR: 0.0743908, NDCG: 0.0579035, F1: 0.0348060, HIT_RATE: 0.2174789, ARHR: 0.0811024, NOVELTY: 0.0047140, AVERAGE_POPULARITY: 0.0616727, DIVERSITY_MEAN_INTER_LIST: 0.9922440, DIVERSITY_HERFINDAHL: 0.9992041, COVERAGE_ITEM: 0.4433802, COVERAGE_ITEM_CORRECT: 0.0288354, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1114131, DIVERSITY_GINI: 0.1720005, SHANNON_ENTROPY: 12.0867901, 
SearchBayesianSkopt-CV: Config 35 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 20.0} - results: ROC_AUC: 0.1094060, PRECISION: 0.0217726, PRECISION_RECALL_MIN_DEN: 0.0887623, RECALL: 0.0870687, MAP: 0.0370560, MRR: 0.0742416, NDCG: 0.0578761, F1: 0.0348330, HIT_RATE: 0.2177256, ARHR: 0.0809322, NOVELTY: 0.0047126, AVERAGE_POPULARITY: 0.0617660, DIVERSITY_MEAN_INTER_LIST: 0.9922065, DIVERSITY_HERFINDAHL: 0.9992004, COVERAGE_ITEM: 0.4423484, COVERAGE_ITEM_CORRECT: 0.0288354, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116396, DIVERSITY_GINI: 0.1713465, SHANNON_ENTROPY: 12.0805291, 
SearchBayesianSkopt-CV: Config 36 is suboptimal. Config: {'topK': 997, 'shrink': 31, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 1.086948482036749} - results: ROC_AUC: 0.1011132, PRECISION: 0.0198395, PRECISION_RECALL_MIN_DEN: 0.0828337, RECALL: 0.0813216, MAP: 0.0347955, MRR: 0.0680557, NDCG: 0.0538568, F1: 0.0318950, HIT_RATE: 0.1983954, ARHR: 0.0738939, NOVELTY: 0.0047824, AVERAGE_POPULARITY: 0.0320419, DIVERSITY_MEAN_INTER_LIST: 0.9958860, DIVERSITY_HERFINDAHL: 0.9995682, COVERAGE_ITEM: 0.5133474, COVERAGE_ITEM_CORRECT: 0.0315996, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1030074, DIVERSITY_GINI: 0.2362573, SHANNON_ENTROPY: 12.7303896, 
SearchBayesianSkopt-CV: Config 37 is suboptimal. Config: {'topK': 957, 'shrink': 980, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 1.288606312355982} - results: ROC_AUC: 0.1092297, PRECISION: 0.0217644, PRECISION_RECALL_MIN_DEN: 0.0887947, RECALL: 0.0871185, MAP: 0.0370723, MRR: 0.0743345, NDCG: 0.0578993, F1: 0.0348271, HIT_RATE: 0.2176436, ARHR: 0.0810572, NOVELTY: 0.0047138, AVERAGE_POPULARITY: 0.0616155, DIVERSITY_MEAN_INTER_LIST: 0.9922596, DIVERSITY_HERFINDAHL: 0.9992057, COVERAGE_ITEM: 0.4436882, COVERAGE_ITEM_CORRECT: 0.0288816, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1114383, DIVERSITY_GINI: 0.1722533, SHANNON_ENTROPY: 12.0893996, 
SearchBayesianSkopt-CV: Config 38 is suboptimal. Config: {'topK': 15, 'shrink': 974, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 1.1639354243104343} - results: ROC_AUC: 0.1048611, PRECISION: 0.0209141, PRECISION_RECALL_MIN_DEN: 0.0843822, RECALL: 0.0826657, MAP: 0.0358787, MRR: 0.0718608, NDCG: 0.0554956, F1: 0.0333791, HIT_RATE: 0.2091411, ARHR: 0.0786593, NOVELTY: 0.0046641, AVERAGE_POPULARITY: 0.0594016, DIVERSITY_MEAN_INTER_LIST: 0.9901036, DIVERSITY_HERFINDAHL: 0.9989901, COVERAGE_ITEM: 0.5559577, COVERAGE_ITEM_CORRECT: 0.0291665, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1064301, DIVERSITY_GINI: 0.2435189, SHANNON_ENTROPY: 12.4081564, 
SearchBayesianSkopt-CV: Config 39 is suboptimal. Config: {'topK': 10, 'shrink': 19, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 19.99846787602637} - results: ROC_AUC: 0.0950659, PRECISION: 0.0189352, PRECISION_RECALL_MIN_DEN: 0.0776942, RECALL: 0.0761955, MAP: 0.0325149, MRR: 0.0641990, NDCG: 0.0505140, F1: 0.0303317, HIT_RATE: 0.1893523, ARHR: 0.0700870, NOVELTY: 0.0047173, AVERAGE_POPULARITY: 0.0306043, DIVERSITY_MEAN_INTER_LIST: 0.9885614, DIVERSITY_HERFINDAHL: 0.9988359, COVERAGE_ITEM: 0.6170703, COVERAGE_ITEM_CORRECT: 0.0311145, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0971436, DIVERSITY_GINI: 0.3058543, SHANNON_ENTROPY: 12.7959893, 
SearchBayesianSkopt-CV: Config 40 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 20.0} - results: ROC_AUC: 0.1094060, PRECISION: 0.0217726, PRECISION_RECALL_MIN_DEN: 0.0887623, RECALL: 0.0870687, MAP: 0.0370560, MRR: 0.0742416, NDCG: 0.0578761, F1: 0.0348330, HIT_RATE: 0.2177256, ARHR: 0.0809322, NOVELTY: 0.0047126, AVERAGE_POPULARITY: 0.0617660, DIVERSITY_MEAN_INTER_LIST: 0.9922065, DIVERSITY_HERFINDAHL: 0.9992004, COVERAGE_ITEM: 0.4423484, COVERAGE_ITEM_CORRECT: 0.0288354, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116396, DIVERSITY_GINI: 0.1713465, SHANNON_ENTROPY: 12.0805291, 
SearchBayesianSkopt-CV: Config 41 is suboptimal. Config: {'topK': 999, 'shrink': 999, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 19.48907781843239} - results: ROC_AUC: 0.1094232, PRECISION: 0.0217808, PRECISION_RECALL_MIN_DEN: 0.0888081, RECALL: 0.0871121, MAP: 0.0370522, MRR: 0.0742788, NDCG: 0.0578862, F1: 0.0348470, HIT_RATE: 0.2178076, ARHR: 0.0809664, NOVELTY: 0.0047128, AVERAGE_POPULARITY: 0.0617604, DIVERSITY_MEAN_INTER_LIST: 0.9922079, DIVERSITY_HERFINDAHL: 0.9992005, COVERAGE_ITEM: 0.4426641, COVERAGE_ITEM_CORRECT: 0.0288508, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116648, DIVERSITY_GINI: 0.1714860, SHANNON_ENTROPY: 12.0814159, 
SearchBayesianSkopt-CV: Config 42 is suboptimal. Config: {'topK': 972, 'shrink': 39, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 1.0652760793077753} - results: ROC_AUC: 0.1023321, PRECISION: 0.0200482, PRECISION_RECALL_MIN_DEN: 0.0832937, RECALL: 0.0817607, MAP: 0.0349954, MRR: 0.0687921, NDCG: 0.0542547, F1: 0.0321987, HIT_RATE: 0.2004823, ARHR: 0.0747522, NOVELTY: 0.0047843, AVERAGE_POPULARITY: 0.0337726, DIVERSITY_MEAN_INTER_LIST: 0.9957653, DIVERSITY_HERFINDAHL: 0.9995562, COVERAGE_ITEM: 0.5072570, COVERAGE_ITEM_CORRECT: 0.0315072, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1039134, DIVERSITY_GINI: 0.2312642, SHANNON_ENTROPY: 12.6936443, 
SearchBayesianSkopt-CV: Config 43 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 1.0} - results: ROC_AUC: 0.1094060, PRECISION: 0.0217726, PRECISION_RECALL_MIN_DEN: 0.0887623, RECALL: 0.0870687, MAP: 0.0370560, MRR: 0.0742416, NDCG: 0.0578761, F1: 0.0348330, HIT_RATE: 0.2177256, ARHR: 0.0809322, NOVELTY: 0.0047126, AVERAGE_POPULARITY: 0.0617660, DIVERSITY_MEAN_INTER_LIST: 0.9922065, DIVERSITY_HERFINDAHL: 0.9992004, COVERAGE_ITEM: 0.4423484, COVERAGE_ITEM_CORRECT: 0.0288354, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116396, DIVERSITY_GINI: 0.1713465, SHANNON_ENTROPY: 12.0805291, 
SearchBayesianSkopt-CV: Config 44 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 20.0} - results: ROC_AUC: 0.1094060, PRECISION: 0.0217726, PRECISION_RECALL_MIN_DEN: 0.0887623, RECALL: 0.0870687, MAP: 0.0370560, MRR: 0.0742416, NDCG: 0.0578761, F1: 0.0348330, HIT_RATE: 0.2177256, ARHR: 0.0809322, NOVELTY: 0.0047126, AVERAGE_POPULARITY: 0.0617660, DIVERSITY_MEAN_INTER_LIST: 0.9922065, DIVERSITY_HERFINDAHL: 0.9992004, COVERAGE_ITEM: 0.4423484, COVERAGE_ITEM_CORRECT: 0.0288354, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116396, DIVERSITY_GINI: 0.1713465, SHANNON_ENTROPY: 12.0805291, 
SearchBayesianSkopt-CV: Config 45 is suboptimal. Config: {'topK': 29, 'shrink': 992, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 19.518175400340144} - results: ROC_AUC: 0.1110696, PRECISION: 0.0221247, PRECISION_RECALL_MIN_DEN: 0.0885543, RECALL: 0.0867820, MAP: 0.0375804, MRR: 0.0754898, NDCG: 0.0583520, F1: 0.0352586, HIT_RATE: 0.2212470, ARHR: 0.0827440, NOVELTY: 0.0046724, AVERAGE_POPULARITY: 0.0614301, DIVERSITY_MEAN_INTER_LIST: 0.9923372, DIVERSITY_HERFINDAHL: 0.9992134, COVERAGE_ITEM: 0.5446314, COVERAGE_ITEM_CORRECT: 0.0303908, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1124198, DIVERSITY_GINI: 0.2401231, SHANNON_ENTROPY: 12.4807204, 
SearchBayesianSkopt-CV: Config 46 is suboptimal. Config: {'topK': 995, 'shrink': 25, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 1.695128553354631} - results: ROC_AUC: 0.1004600, PRECISION: 0.0196521, PRECISION_RECALL_MIN_DEN: 0.0821392, RECALL: 0.0806535, MAP: 0.0344954, MRR: 0.0674041, NDCG: 0.0533996, F1: 0.0316020, HIT_RATE: 0.1965205, ARHR: 0.0731689, NOVELTY: 0.0047827, AVERAGE_POPULARITY: 0.0306888, DIVERSITY_MEAN_INTER_LIST: 0.9959793, DIVERSITY_HERFINDAHL: 0.9995776, COVERAGE_ITEM: 0.5194379, COVERAGE_ITEM_CORRECT: 0.0316227, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1021518, DIVERSITY_GINI: 0.2409663, SHANNON_ENTROPY: 12.7623888, 
SearchBayesianSkopt-CV: Config 47 is suboptimal. Config: {'topK': 6, 'shrink': 997, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 1.1339932522426033} - results: ROC_AUC: 0.0949082, PRECISION: 0.0186222, PRECISION_RECALL_MIN_DEN: 0.0747076, RECALL: 0.0731690, MAP: 0.0320146, MRR: 0.0642370, NDCG: 0.0495087, F1: 0.0296873, HIT_RATE: 0.1862215, ARHR: 0.0697226, NOVELTY: 0.0046565, AVERAGE_POPULARITY: 0.0539967, DIVERSITY_MEAN_INTER_LIST: 0.9779427, DIVERSITY_HERFINDAHL: 0.9977743, COVERAGE_ITEM: 0.5516766, COVERAGE_ITEM_CORRECT: 0.0269028, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0962376, DIVERSITY_GINI: 0.2285590, SHANNON_ENTROPY: 12.0191837, 
SearchBayesianSkopt-CV: Config 48 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 20.0} - results: ROC_AUC: 0.1094060, PRECISION: 0.0217726, PRECISION_RECALL_MIN_DEN: 0.0887623, RECALL: 0.0870687, MAP: 0.0370560, MRR: 0.0742416, NDCG: 0.0578761, F1: 0.0348330, HIT_RATE: 0.2177256, ARHR: 0.0809322, NOVELTY: 0.0047126, AVERAGE_POPULARITY: 0.0617660, DIVERSITY_MEAN_INTER_LIST: 0.9922065, DIVERSITY_HERFINDAHL: 0.9992004, COVERAGE_ITEM: 0.4423484, COVERAGE_ITEM_CORRECT: 0.0288354, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116396, DIVERSITY_GINI: 0.1713465, SHANNON_ENTROPY: 12.0805291, 
SearchBayesianSkopt-CV: Config 49 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 20.0} - results: ROC_AUC: 0.1094060, PRECISION: 0.0217726, PRECISION_RECALL_MIN_DEN: 0.0887623, RECALL: 0.0870687, MAP: 0.0370560, MRR: 0.0742416, NDCG: 0.0578761, F1: 0.0348330, HIT_RATE: 0.2177256, ARHR: 0.0809322, NOVELTY: 0.0047126, AVERAGE_POPULARITY: 0.0617660, DIVERSITY_MEAN_INTER_LIST: 0.9922065, DIVERSITY_HERFINDAHL: 0.9992004, COVERAGE_ITEM: 0.4423484, COVERAGE_ITEM_CORRECT: 0.0288354, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116396, DIVERSITY_GINI: 0.1713465, SHANNON_ENTROPY: 12.0805291, 
SearchBayesianSkopt-CV: Search complete. Best config is 3: {'topK': 100, 'shrink': 694, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 15.566263173944517}
