
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 661, 'shrink': 410, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1535106, PRECISION: 0.0313562, PRECISION_RECALL_MIN_DEN: 0.1130736, RECALL: 0.1098939, MAP: 0.0524872, MRR: 0.1127403, NDCG: 0.0794114, F1: 0.0487870, HIT_RATE: 0.3135620, ARHR: 0.1282978, NOVELTY: 0.0045624, AVERAGE_POPULARITY: 0.1623521, DIVERSITY_MEAN_INTER_LIST: 0.9607767, DIVERSITY_HERFINDAHL: 0.9960607, COVERAGE_ITEM: 0.3195303, COVERAGE_ITEM_CORRECT: 0.0297979, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1703536, DIVERSITY_GINI: 0.0725162, SHANNON_ENTROPY: 10.1767548, 
SearchBayesianSkopt-CV: Config 31 is suboptimal. Config: {'topK': 23, 'shrink': 12, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1376260, PRECISION: 0.0281943, PRECISION_RECALL_MIN_DEN: 0.0995296, RECALL: 0.0960840, MAP: 0.0480924, MRR: 0.1016344, NDCG: 0.0710044, F1: 0.0435933, HIT_RATE: 0.2819426, ARHR: 0.1165690, NOVELTY: 0.0051866, AVERAGE_POPULARITY: 0.0526424, DIVERSITY_MEAN_INTER_LIST: 0.9959788, DIVERSITY_HERFINDAHL: 0.9995803, COVERAGE_ITEM: 0.4853821, COVERAGE_ITEM_CORRECT: 0.0445659, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1499937, DIVERSITY_GINI: 0.2087514, SHANNON_ENTROPY: 12.5863279, 
SearchBayesianSkopt-CV: Config 32 is suboptimal. Config: {'topK': 998, 'shrink': 993, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1546482, PRECISION: 0.0316497, PRECISION_RECALL_MIN_DEN: 0.1140708, RECALL: 0.1108450, MAP: 0.0530776, MRR: 0.1133765, NDCG: 0.0802108, F1: 0.0492371, HIT_RATE: 0.3164970, ARHR: 0.1290869, NOVELTY: 0.0045668, AVERAGE_POPULARITY: 0.1647699, DIVERSITY_MEAN_INTER_LIST: 0.9591702, DIVERSITY_HERFINDAHL: 0.9959001, COVERAGE_ITEM: 0.3270529, COVERAGE_ITEM_CORRECT: 0.0300905, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1717126, DIVERSITY_GINI: 0.0754426, SHANNON_ENTROPY: 10.1956739, 
SearchBayesianSkopt-CV: Config 33 is suboptimal. Config: {'topK': 963, 'shrink': 15, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1521566, PRECISION: 0.0309995, PRECISION_RECALL_MIN_DEN: 0.1123547, RECALL: 0.1092200, MAP: 0.0519662, MRR: 0.1112086, NDCG: 0.0786848, F1: 0.0482885, HIT_RATE: 0.3099953, ARHR: 0.1263863, NOVELTY: 0.0045415, AVERAGE_POPULARITY: 0.1687721, DIVERSITY_MEAN_INTER_LIST: 0.9565427, DIVERSITY_HERFINDAHL: 0.9956374, COVERAGE_ITEM: 0.3142252, COVERAGE_ITEM_CORRECT: 0.0293436, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1689946, DIVERSITY_GINI: 0.0698803, SHANNON_ENTROPY: 10.0764050, 
SearchBayesianSkopt-CV: Config 34 is suboptimal. Config: {'topK': 987, 'shrink': 975, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1442845, PRECISION: 0.0292572, PRECISION_RECALL_MIN_DEN: 0.1056760, RECALL: 0.1025881, MAP: 0.0489318, MRR: 0.1056901, NDCG: 0.0740846, F1: 0.0455275, HIT_RATE: 0.2925717, ARHR: 0.1197281, NOVELTY: 0.0045213, AVERAGE_POPULARITY: 0.1722892, DIVERSITY_MEAN_INTER_LIST: 0.9528318, DIVERSITY_HERFINDAHL: 0.9952663, COVERAGE_ITEM: 0.3044235, COVERAGE_ITEM_CORRECT: 0.0269644, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1604379, DIVERSITY_GINI: 0.0656640, SHANNON_ENTROPY: 9.9600727, 
SearchBayesianSkopt-CV: Config 35 is suboptimal. Config: {'topK': 998, 'shrink': 3, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1520727, PRECISION: 0.0309783, PRECISION_RECALL_MIN_DEN: 0.1122819, RECALL: 0.1091456, MAP: 0.0519614, MRR: 0.1112151, NDCG: 0.0786603, F1: 0.0482555, HIT_RATE: 0.3097828, ARHR: 0.1263762, NOVELTY: 0.0045401, AVERAGE_POPULARITY: 0.1691996, DIVERSITY_MEAN_INTER_LIST: 0.9562532, DIVERSITY_HERFINDAHL: 0.9956084, COVERAGE_ITEM: 0.3139865, COVERAGE_ITEM_CORRECT: 0.0292820, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1688939, DIVERSITY_GINI: 0.0697550, SHANNON_ENTROPY: 10.0702126, 
SearchBayesianSkopt-CV: Config 36 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1559082, PRECISION: 0.0319681, PRECISION_RECALL_MIN_DEN: 0.1146930, RECALL: 0.1114642, MAP: 0.0538218, MRR: 0.1147628, NDCG: 0.0811092, F1: 0.0496812, HIT_RATE: 0.3196806, ARHR: 0.1306482, NOVELTY: 0.0046336, AVERAGE_POPULARITY: 0.1547807, DIVERSITY_MEAN_INTER_LIST: 0.9644558, DIVERSITY_HERFINDAHL: 0.9964285, COVERAGE_ITEM: 0.3569278, COVERAGE_ITEM_CORRECT: 0.0312454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1735749, DIVERSITY_GINI: 0.0903097, SHANNON_ENTROPY: 10.4846358, 
SearchBayesianSkopt-CV: Config 37 is suboptimal. Config: {'topK': 997, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1373185, PRECISION: 0.0281021, PRECISION_RECALL_MIN_DEN: 0.0993771, RECALL: 0.0963159, MAP: 0.0458743, MRR: 0.1007287, NDCG: 0.0698016, F1: 0.0435078, HIT_RATE: 0.2810211, ARHR: 0.1142222, NOVELTY: 0.0045280, AVERAGE_POPULARITY: 0.1705514, DIVERSITY_MEAN_INTER_LIST: 0.9535227, DIVERSITY_HERFINDAHL: 0.9953354, COVERAGE_ITEM: 0.3054475, COVERAGE_ITEM_CORRECT: 0.0251935, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1537436, DIVERSITY_GINI: 0.0662777, SHANNON_ENTROPY: 9.9798895, 
SearchBayesianSkopt-CV: Config 38 is suboptimal. Config: {'topK': 986, 'shrink': 998, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1521178, PRECISION: 0.0309748, PRECISION_RECALL_MIN_DEN: 0.1122823, RECALL: 0.1091476, MAP: 0.0519519, MRR: 0.1111869, NDCG: 0.0786529, F1: 0.0482515, HIT_RATE: 0.3097479, ARHR: 0.1263561, NOVELTY: 0.0045405, AVERAGE_POPULARITY: 0.1690706, DIVERSITY_MEAN_INTER_LIST: 0.9563362, DIVERSITY_HERFINDAHL: 0.9956167, COVERAGE_ITEM: 0.3139557, COVERAGE_ITEM_CORRECT: 0.0292974, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1688939, DIVERSITY_GINI: 0.0697630, SHANNON_ENTROPY: 10.0716115, 
SearchBayesianSkopt-CV: Config 39 is suboptimal. Config: {'topK': 15, 'shrink': 42, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1252410, PRECISION: 0.0257810, PRECISION_RECALL_MIN_DEN: 0.0908972, RECALL: 0.0876604, MAP: 0.0442045, MRR: 0.0926659, NDCG: 0.0649606, F1: 0.0398414, HIT_RATE: 0.2578098, ARHR: 0.1062398, NOVELTY: 0.0052641, AVERAGE_POPULARITY: 0.0453350, DIVERSITY_MEAN_INTER_LIST: 0.9960165, DIVERSITY_HERFINDAHL: 0.9995841, COVERAGE_ITEM: 0.5140404, COVERAGE_ITEM_CORRECT: 0.0432724, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1368818, DIVERSITY_GINI: 0.2378280, SHANNON_ENTROPY: 12.7772942, 
SearchBayesianSkopt-CV: Config 40 is suboptimal. Config: {'topK': 984, 'shrink': 965, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1443691, PRECISION: 0.0292536, PRECISION_RECALL_MIN_DEN: 0.1056599, RECALL: 0.1025711, MAP: 0.0489213, MRR: 0.1056890, NDCG: 0.0740743, F1: 0.0455215, HIT_RATE: 0.2925365, ARHR: 0.1197197, NOVELTY: 0.0045215, AVERAGE_POPULARITY: 0.1722498, DIVERSITY_MEAN_INTER_LIST: 0.9528656, DIVERSITY_HERFINDAHL: 0.9952697, COVERAGE_ITEM: 0.3044235, COVERAGE_ITEM_CORRECT: 0.0269721, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1604631, DIVERSITY_GINI: 0.0656696, SHANNON_ENTROPY: 9.9605937, 
SearchBayesianSkopt-CV: Config 41 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1559082, PRECISION: 0.0319681, PRECISION_RECALL_MIN_DEN: 0.1146930, RECALL: 0.1114642, MAP: 0.0538218, MRR: 0.1147628, NDCG: 0.0811092, F1: 0.0496812, HIT_RATE: 0.3196806, ARHR: 0.1306482, NOVELTY: 0.0046336, AVERAGE_POPULARITY: 0.1547807, DIVERSITY_MEAN_INTER_LIST: 0.9644558, DIVERSITY_HERFINDAHL: 0.9964285, COVERAGE_ITEM: 0.3569278, COVERAGE_ITEM_CORRECT: 0.0312454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1735749, DIVERSITY_GINI: 0.0903097, SHANNON_ENTROPY: 10.4846358, 
SearchBayesianSkopt-CV: Config 42 is suboptimal. Config: {'topK': 991, 'shrink': 996, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1521068, PRECISION: 0.0309783, PRECISION_RECALL_MIN_DEN: 0.1122791, RECALL: 0.1091428, MAP: 0.0519698, MRR: 0.1112220, NDCG: 0.0786674, F1: 0.0482552, HIT_RATE: 0.3097832, ARHR: 0.1263864, NOVELTY: 0.0045404, AVERAGE_POPULARITY: 0.1691200, DIVERSITY_MEAN_INTER_LIST: 0.9563071, DIVERSITY_HERFINDAHL: 0.9956138, COVERAGE_ITEM: 0.3139326, COVERAGE_ITEM_CORRECT: 0.0292897, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1688939, DIVERSITY_GINI: 0.0697522, SHANNON_ENTROPY: 10.0710205, 
SearchBayesianSkopt-CV: Config 43 is suboptimal. Config: {'topK': 986, 'shrink': 983, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1547320, PRECISION: 0.0316496, PRECISION_RECALL_MIN_DEN: 0.1141742, RECALL: 0.1109505, MAP: 0.0531085, MRR: 0.1134778, NDCG: 0.0802622, F1: 0.0492474, HIT_RATE: 0.3164963, ARHR: 0.1291588, NOVELTY: 0.0045673, AVERAGE_POPULARITY: 0.1646540, DIVERSITY_MEAN_INTER_LIST: 0.9592397, DIVERSITY_HERFINDAHL: 0.9959070, COVERAGE_ITEM: 0.3272377, COVERAGE_ITEM_CORRECT: 0.0300905, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1718636, DIVERSITY_GINI: 0.0755327, SHANNON_ENTROPY: 10.1980412, 
SearchBayesianSkopt-CV: Config 44 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1559082, PRECISION: 0.0319681, PRECISION_RECALL_MIN_DEN: 0.1146930, RECALL: 0.1114642, MAP: 0.0538218, MRR: 0.1147628, NDCG: 0.0811092, F1: 0.0496812, HIT_RATE: 0.3196806, ARHR: 0.1306482, NOVELTY: 0.0046336, AVERAGE_POPULARITY: 0.1547807, DIVERSITY_MEAN_INTER_LIST: 0.9644558, DIVERSITY_HERFINDAHL: 0.9964285, COVERAGE_ITEM: 0.3569278, COVERAGE_ITEM_CORRECT: 0.0312454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1735749, DIVERSITY_GINI: 0.0903097, SHANNON_ENTROPY: 10.4846358, 
SearchBayesianSkopt-CV: Config 45 is suboptimal. Config: {'topK': 986, 'shrink': 2, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1551834, PRECISION: 0.0316180, PRECISION_RECALL_MIN_DEN: 0.1141202, RECALL: 0.1109319, MAP: 0.0531866, MRR: 0.1135254, NDCG: 0.0803484, F1: 0.0492064, HIT_RATE: 0.3161801, ARHR: 0.1291624, NOVELTY: 0.0045669, AVERAGE_POPULARITY: 0.1647947, DIVERSITY_MEAN_INTER_LIST: 0.9590923, DIVERSITY_HERFINDAHL: 0.9958923, COVERAGE_ITEM: 0.3275996, COVERAGE_ITEM_CORRECT: 0.0302522, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1720146, DIVERSITY_GINI: 0.0756483, SHANNON_ENTROPY: 10.1978502, 
SearchBayesianSkopt-CV: Config 46 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1559082, PRECISION: 0.0319681, PRECISION_RECALL_MIN_DEN: 0.1146930, RECALL: 0.1114642, MAP: 0.0538218, MRR: 0.1147628, NDCG: 0.0811092, F1: 0.0496812, HIT_RATE: 0.3196806, ARHR: 0.1306482, NOVELTY: 0.0046336, AVERAGE_POPULARITY: 0.1547807, DIVERSITY_MEAN_INTER_LIST: 0.9644558, DIVERSITY_HERFINDAHL: 0.9964285, COVERAGE_ITEM: 0.3569278, COVERAGE_ITEM_CORRECT: 0.0312454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1735749, DIVERSITY_GINI: 0.0903097, SHANNON_ENTROPY: 10.4846358, 
SearchBayesianSkopt-CV: Config 47 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1559082, PRECISION: 0.0319681, PRECISION_RECALL_MIN_DEN: 0.1146930, RECALL: 0.1114642, MAP: 0.0538218, MRR: 0.1147628, NDCG: 0.0811092, F1: 0.0496812, HIT_RATE: 0.3196806, ARHR: 0.1306482, NOVELTY: 0.0046336, AVERAGE_POPULARITY: 0.1547807, DIVERSITY_MEAN_INTER_LIST: 0.9644558, DIVERSITY_HERFINDAHL: 0.9964285, COVERAGE_ITEM: 0.3569278, COVERAGE_ITEM_CORRECT: 0.0312454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1735749, DIVERSITY_GINI: 0.0903097, SHANNON_ENTROPY: 10.4846358, 
SearchBayesianSkopt-CV: Config 48 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1559082, PRECISION: 0.0319681, PRECISION_RECALL_MIN_DEN: 0.1146930, RECALL: 0.1114642, MAP: 0.0538218, MRR: 0.1147628, NDCG: 0.0811092, F1: 0.0496812, HIT_RATE: 0.3196806, ARHR: 0.1306482, NOVELTY: 0.0046336, AVERAGE_POPULARITY: 0.1547807, DIVERSITY_MEAN_INTER_LIST: 0.9644558, DIVERSITY_HERFINDAHL: 0.9964285, COVERAGE_ITEM: 0.3569278, COVERAGE_ITEM_CORRECT: 0.0312454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1735749, DIVERSITY_GINI: 0.0903097, SHANNON_ENTROPY: 10.4846358, 
SearchBayesianSkopt-CV: Config 49 is suboptimal. Config: {'topK': 7, 'shrink': 997, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1072416, PRECISION: 0.0231131, PRECISION_RECALL_MIN_DEN: 0.0734759, RECALL: 0.0700908, MAP: 0.0348309, MRR: 0.0791648, NDCG: 0.0524323, F1: 0.0347620, HIT_RATE: 0.2311313, ARHR: 0.0921801, NOVELTY: 0.0053569, AVERAGE_POPULARITY: 0.0372345, DIVERSITY_MEAN_INTER_LIST: 0.9840270, DIVERSITY_HERFINDAHL: 0.9983853, COVERAGE_ITEM: 0.5605159, COVERAGE_ITEM_CORRECT: 0.0404928, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1192148, DIVERSITY_GINI: 0.2651434, SHANNON_ENTROPY: 12.5429158, 
SearchBayesianSkopt-CV: Search complete. Best config is 19: {'topK': 94, 'shrink': 331, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'}
